GL9TWQKus4I	20260815	6564	3423	267	89
0jkfaiMY6fk	20260813	10245	3499	431	124
df911vxEVZM	20260811	17816	3163	567	78
90Jpz7fnxLg	20260809	6098	3519	253	74
GNVIGuHZX4M	20260807	6154	3557	229	36
1Ry42RiP_ZA	20260805	5888	3517	216	33
s2WFK2JL-fk	20260803	30660	3828	1042	242
lOetEcdBw2I	20260801	13751	3581	542	131
o-itppbo-GY	20260730	25474	3516	837	328
-tFHPgtFvQo	20260728	10872	3541	438	201
YfWSbH4OxgY	20260726	11420	3821	402	112
4nv5w0j1zNI	20260724	4717	3065	193	31
NbiVwNebGDI	20260722	27406	3096	1069	477
fWeaqmEORhw	20260720	13381	3468	529	100
kOzm3y2djKU	20260718	10406	3442	400	197
aDkx5HF2AxA	20260716	7067	3263	291	117
Q8YWV6txjcU	20260714	7285	3363	293	50
m2xDYWYHOcs	20260712	7167	3453	317	82
7l0Hfqm7mwo	20260710	4191	3500	176	68
QJKuveBtFlI	20260708	27763	3379	1091	336
eq5ADhD_Pss	20260706	8361	3369	310	41
h2uidTqhUZE	20260704	5196	3330	207	60
sX5QrFjytEA	20260702	6806	3785	288	71
tWG9Qgb9Wgg	20260630	6514	3388	260	64
ZPkl7n4Lz3c	20260628	26614	3155	1084	213
7d24kXpFqfk	20260626	39520	3742	1478	362
swmcP7B2-3Q	20260624	12368	3578	481	87
4cpcRIq-CBU	20260622	25631	3569	1064	183
0xUMk8LPpw8	20260620	10465	3539	457	71
Q9-u4_2rbhc	20260618	7296	3366	237	84
We1CGhVPYZw	20260616	8871	3510	351	46
ZRnMHwL3_a8	20260614	10241	3211	360	74
z7BclUmNk-c	20260612	18559	3655	630	117
rzG3F3aMEMo	20260611	4847	3643	202	27
-5bjyUYTFaU	20260609	11201	3340	447	107
FqwxLpnpAvg	20260607	17214	3568	601	65
aAXwxnEMGUg	20260605	19833	3893	817	231
VNxVT-Wf_iw	20260603	8830	3375	396	136
IKAyp22sVqw	20260601	24802	3694	861	93
9G9Sg38viEI	20260529	180131	3686	7823	1600
zv9AWmvKF_I	20260527	6510	3489	264	60
Ak0uI7mY1RQ	20260525	5774	3901	235	51
tg55ixq-IuI	20260524	14342	3695	632	186
AitV9i4HaMo	20260522	4173	3616	190	34
8Ob5cjAvWqk	20260521	4906	3595	198	22
9BCN3rYsvTc	20260519	7141	3513	237	45
4bu_6M6H-hg	20260517	5987	4050	254	53
OyGTGs-9L8Y	20260515	3416	2328	145	27
hSYhy4pJX2Q	20260514	9342	3703	441	248
ffPHV1dRpB4	20260512	10036	4115	384	111
_72J_R_7Q3E	20260511	2795	3669	97	16
kPM8CGkHYGk	20260510	4052	3498	203	42
HknPHgjWckM	20260509	12721	3922	449	152
MmJUmR_FD04	20260508	11541	3945	462	86
TWUyXJP2WNU	20260506	9809	3969	300	84
_QDVP7JaJ1g	20260505	6482	3273	231	35
yxNaHRJTrPY	20260504	17586	3957	688	116
hVcs5QJtB5g	20260502	42282	3480	1713	483
I2YSdJvhc5Q	20260430	127112	3257	4349	1400
SJVCGVnSLPs	20260429	7700	3841	311	32
WP34khAlpeg	20260428	10397	3611	411	55
UJ1jnio8JGE	20260426	5129	4092	204	49
cCUM7lRs5FY	20260424	24471	3651	922	179
CaSKqDbXN18	20260423	3109	3765	121	30
nocT5AQREoQ	20260422	6020	3610	245	36
p7LSbXwbAPE	20260421	5821	4078	261	50
BcEOgA4PXJY	20260419	6659	3825	305	94
e1TlySqMRZw	20260417	20430	3679	642	124
6OCrsvDWbQk	20260416	9735	4248	342	63
9SEt0BUAumc	20260414	6277	3619	228	42
CMWL9LET4O0	20260412	8851	3640	355	66
PGPsTUQNrVI	20260410	7190	3782	298	66
5KOTKs73gIs	20260409	8979	3543	371	89
0nIz-sQJU4k	20260407	7608	4024	323	58
SaECr1JPbRM	20260406	11399	3754	450	47
gYwDTeSIZyA	20260405	8367	3642	353	77
51bvAahb_pk	20260403	8994	4145	394	187
9MpQ-jYrNic	20260401	14925	3712	640	169
51lKMpb7Bcc	20260330	7818	3863	379	62
HNdZGU_DYxg	20260328	6802	3714	310	46
f1tAhjEMuMU	20260326	13810	3419	588	123
XF6XdvMw7TY	20260324	37539	3517	1477	413
TK9vxQFAr-A	20260322	10263	3616	386	103
l34roJTpBrA	20260320	117504	3673	3515	598
ra0Z7fzxbBg	20260318	27744	3670	949	237
QeDLgpuSnYc	20260317	9694	3512	408	90
xIADBVtXawo	20260315	9731	3731	421	82
r__BTILMgH4	20260313	34176	3514	1235	347
8_t8nQcsxno	20260311	9113	4049	403	209
cgt803hp99M	20260309	166356	3766	5618	1500
zqrmY4yWyak	20260307	181006	3850	5372	1800
5u1B7PROo_s	20260305	21557	3398	792	133
JJvBAaPmbT0	20260303	26508	3720	1093	323
XfnS0h91nLs	20260302	18894	3653	830	235
-iPnSFl434E	20260228	233147	3454	6470	1800
qExjfuwaMQc	20260226	6218	3517	260	37
DdAaVpw6I7A	20260225	8066	3885	324	47
5JVxWUuVIKA	20260224	4821	3656	231	66
zPUyOvj4veY	20260223	3635	3610	183	43
EDl20qeK2tA	20260222	29524	4408	992	298
P3ksCfic4H8	20260221	28980	3518	960	153
8lxIY35zb6Q	20260220	241144	3755	6363	2000
WqQzUjvh5fk	20260219	6007	3319	277	61
1uimdJNDcF0	20260218	11522	3550	535	67
--Mpaln4jx8	20260216	1116	3322	45	2
5Z3i1LWXBSQ	20260215	2573	3833	129	12
hecek06K7c8	20260214	3286	3253	180	23
0Y5037dbdZY	20260213	4748	3504	209	40
oq8lhhDrSsY	20260212	3928	3427	189	18
alpNvIafBxA	20260211	6511	4406	251	63
mTNxwGZmVZ8	20260209	10928	3878	360	195
-GeBebPSQ6I	20260207	62733	3611	2260	588
NRXWtUm87KY	20260205	82819	3255	2616	1000
ihzmo7MZkPE	20260204	3826	3902	161	28
74dAiQMCpgA	20260202	8890	3591	374	95
8gMdQ-mLY6M	20260131	2400	3851	103	5
NOehmvfXvzs	20260130	3645	3604	136	13
Qh1wIKgnB-o	20260129	73904	5243	2480	652
9Wbho_j_n9o	20260128	4997	3595	227	52
o_S-RfdFmjE	20260127	5333	4072	233	60
ILU0aADzrrM	20260126	3146	3672	120	17
5Riu8ysWAfE	20260124	6991	3627	233	45
J3LdwHAZR2E	20260123	204915	4121	6130	2100
oLpumIUjWD4	20260122	5880	3597	245	55
UCowPycKUkA	20260121	4247	3695	142	26
c8vqHG2YF3U	20260120	2229	3603	83	24
W3e31uhkaoU	20260119	6135	3638	229	47
vg-qVH7IRCQ	20260118	4746	3562	157	12
PfU1J9Q7Axw	20260117	5894	3498	205	23
BdAptZqjzMU	20260116	4925	3750	188	33
DqwFk8-UJrw	20260115	4468	4032	203	39
tTK_p0gWWcg	20260114	62511	3902	2350	559
5tMa6C5TF9s	20260113	5649	3670	213	33
w9Jg8mfEGPc	20260112	5463	3625	216	29
-rb8kSvTVLA	20260111	4278	3711	162	13
Juz4xwOtmKo	20260110	3562	3908	153	24
hKjjcx7wQnQ	20260109	4757	3883	182	40
V4Ckr6fpnMo	20260107	13418	4087	474	112
pwu5Z6OKpaI	20260106	5145	3732	203	29
CnzAaf2oaes	20260105	2882	3562	122	23
PMYERWNgRvg	20260103	7955	3837	258	107
TMCCkn7thhM	20260102	6338	3094	292	46
FUpwo8QZ1zA	20260101	6005	3598	252	38
MF_3rR3hprA	20251230	8824	3857	338	65
XQvHl8pZ3fg	20251228	14647	3866	575	101
WepSwGxRFGk	20251227	4756	3871	169	17
e8UvF9b_x8w	20251226	4835	3928	182	33
DE3I4rqHDjE	20251225	2961	3627	110	28
by7oArCdtsU	20251224	7345	4149	233	28
Jn_OOcPqyQY	20251223	4638	3942	160	22
FB4D3TakDeE	20251222	3249	3875	123	8
s94Pf_OqFok	20251221	4576	4063	162	6
iQ_240PjbKw	20251220	5536	3813	186	25
85jDZauU_Q8	20251219	7551	3738	267	45
4pQjbeJKqEs	20251218	5704	3694	210	47
T6bD2jUPG7s	20251217	8684	4307	230	30
Spcb8KLspe8	20251216	5647	3902	178	26
EHUN0N6AMYQ	20251215	7642	3752	262	37
EP7rYZQoAuQ	20251214	43983	3641	1178	278
XXoO2EiL3AQ	20251213	4991	3737	177	27
ULyFkTxhdHw	20251212	4830	3689	166	28
